> Austrailia_1	110	-10
110	-10	107.700931034	-10
107.700931034	-10	107.478	-9.925
107.478	-9.925	107.056	-9.756
107.056	-9.756	106.651	-9.554
106.651	-9.554	106.261	-9.324
106.261	-9.324	105.869	-9.098
105.869	-9.098	105.483	-8.862
105.483	-8.862	105.092	-8.636
105.092	-8.636	104.699	-8.414
104.699	-8.414	104.299	-8.213
104.299	-8.213	103.888	-8.029
103.888	-8.029	103.483	-7.833
103.483	-7.833	103.073	-7.653
103.073	-7.653	102.701	-7.402
102.701	-7.402	102.329	-7.153
102.329	-7.153	101.862	-7.955
101.862	-7.955	101.263	-8.719
101.263	-8.719	100.657	-9.49
100.657	-9.49	100.252811856	-10
100.252811856	-10	110	-10
> Indoburman_1	93.701	25.556
93.701	25.556	93.393	25.248
93.393	25.248	92.647	24.17
92.647	24.17	92.345	23.379
92.345	23.379	92.328	22.109
92.328	22.109	93.195	20.02
93.195	20.02	93.621	19.102
93.621	19.102	93.842	18.264
93.842	18.264	93.817	17.243
93.817	17.243	93.584	16.555
93.584	16.555	93.329	15.926
93.329	15.926	93.994	16.008
93.994	16.008	94.544	15.91
94.544	15.91	94.986	18.108
94.986	18.108	95.008	18.282
95.008	18.282	94.838	18.968
94.838	18.968	94.629	19.52
94.629	19.52	94.478	19.964
94.478	19.964	94.335	20.221
94.335	20.221	94.107	20.704
94.107	20.704	94.025	21.304
94.025	21.304	93.967	21.736
93.967	21.736	93.921	22.108
93.921	22.108	93.966	22.581
93.966	22.581	93.956	23.232
93.956	23.232	93.999	23.545
93.999	23.545	94.021	23.645
94.021	23.645	94.087	23.761
94.087	23.761	94.108	24.01
94.108	24.01	94.174	24.161
94.174	24.161	94.588	24.779
94.588	24.779	94.683	25.014
94.683	25.014	94.994	25.602
94.994	25.602	95.248	25.774
95.248	25.774	95.438	26
95.438	26	95.549	26.199
95.549	26.199	97.603	27.739
97.603	27.739	97.379	28.505
97.379	28.505	95.777	27.4
95.777	27.4	94.437	26.287
94.437	26.287	93.701	25.556
> Burma_1	92.671	14.819
92.671	14.819	92.141	13.901
92.141	13.901	91.834	13.078
91.834	13.078	91.595	11.778
91.595	11.778	91.591	11.3
91.591	11.3	91.576	10.514
91.576	10.514	91.559	10.056
91.559	10.056	91.533	9.604
91.533	9.604	91.554	9.104
91.554	9.104	91.55	8.94
91.55	8.94	91.676	8.531
91.676	8.531	91.832	8.134
91.832	8.134	91.999	7.74
91.999	7.74	92.165	7.346
92.165	7.346	92.302	6.939
92.302	6.939	92.452	6.538
92.452	6.538	92.586	6.13
92.586	6.13	92.711	5.719
92.711	5.719	92.846	5.311
92.846	5.311	93	4.91
93	4.91	93.177	4.518
93.177	4.518	93.407	4.155
93.407	4.155	93.659	3.806
93.659	3.806	93.891	3.443
93.891	3.443	94.161	3.107
94.161	3.107	94.451	2.786
94.451	2.786	94.781	2.51
94.781	2.51	95.104	2.221
95.104	2.221	95.428	1.933
95.428	1.933	95.737	2.345
95.737	2.345	96.109	2.759
96.109	2.759	96.895	3.6
96.895	3.6	97.266	3.946
97.266	3.946	97.001	4.101
97.001	4.101	96.814	4.253
96.814	4.253	96.753	4.353
96.753	4.353	96.594	4.37
96.594	4.37	96.393	4.531
96.393	4.531	96.07	4.841
96.07	4.841	95.938	4.96
95.938	4.96	95.702	5.128
95.702	5.128	95.454	5.302
95.454	5.302	95.209	5.547
95.209	5.547	95.045	5.747
95.045	5.747	94.851	6.219
94.851	6.219	94.498	6.837
94.498	6.837	94.883	7.139
94.883	7.139	94.46	7.603
94.46	7.603	94.775	7.847
94.775	7.847	94.429	8.312
94.429	8.312	94.171	8.686
94.171	8.686	93.986	9.019
93.986	9.019	94.415	9.27
94.415	9.27	94.216	9.717
94.216	9.717	94.024	10.17
94.024	10.17	94.415	10.679
94.415	10.679	94.807	11.188
94.807	11.188	95.019	12.024
95.019	12.024	95.005	12.453
95.005	12.453	95.055	13.01
95.055	13.01	96.503	14.129
96.503	14.129	96.48	14.4
96.48	14.4	96.454	14.909
96.454	14.909	96.406	15.136
96.406	15.136	95.912	15.534
95.912	15.534	95.095	15.813
95.095	15.813	94.544	15.91
94.544	15.91	93.994	16.008
93.994	16.008	93.329	15.926
93.329	15.926	92.671	14.819
> Dauky_1	91.444	26.757
91.444	26.757	91.27	26.741
91.27	26.741	91.095	26.755
91.095	26.755	90.881	26.74
90.881	26.74	90.67	26.751
90.67	26.751	90.469	26.743
90.469	26.743	90.262	26.754
90.262	26.754	90.052	26.755
90.052	26.755	89.848	26.738
89.848	26.738	89.629	26.75
89.629	26.75	89.41	26.757
89.41	26.757	89.171	26.742
89.171	26.742	89.007	26.76
89.007	26.76	88.822	26.769
88.822	26.769	88.636	26.779
88.636	26.779	88.45	26.788
88.45	26.788	88.264	26.797
88.264	26.797	88.074	26.735
88.074	26.735	90.145	25.498
90.145	25.498	90.797	25.307
90.797	25.307	91.005	25.263
91.005	25.263	91.606	25.293
91.606	25.293	91.997	25.264
91.997	25.264	92.5	25.148
92.5	25.148	92.828	25.163
92.828	25.163	93.218	25.273
93.218	25.273	93.527	25.424
93.527	25.424	93.701	25.556
93.701	25.556	94.437	26.287
94.437	26.287	95.777	27.4
95.777	27.4	97.379	28.505
97.379	28.505	96.85	28.962
96.85	28.962	95.667	28.325
95.667	28.325	95.048	27.747
95.048	27.747	93.767	27.181
93.767	27.181	91.9	26.814
91.9	26.814	91.623	26.752
91.623	26.752	91.444	26.757
> India_1	92.345	23.379
92.345	23.379	92.647	24.17
92.647	24.17	93.393	25.248
93.393	25.248	93.701	25.556
93.701	25.556	93.527	25.424
93.527	25.424	93.218	25.273
93.218	25.273	92.828	25.163
92.828	25.163	92.5	25.148
92.5	25.148	91.997	25.264
91.997	25.264	91.606	25.293
91.606	25.293	91.005	25.263
91.005	25.263	90.797	25.307
90.797	25.307	90.145	25.498
90.145	25.498	88.074	26.735
88.074	26.735	87.897	26.65
87.897	26.65	87.716	26.722
87.716	26.722	87.528	26.752
87.528	26.752	87.338	26.77
87.338	26.77	87.142	26.819
87.142	26.819	86.969	26.737
86.969	26.737	86.807	26.634
86.807	26.634	86.607	26.651
86.607	26.651	86.506	26.802
86.506	26.802	86.314	26.853
86.314	26.853	86.121	26.911
86.121	26.911	85.928	26.969
85.928	26.969	85.758	27.069
85.758	27.069	85.561	27.107
85.561	27.107	85.363	27.147
85.363	27.147	85.177	27.222
85.177	27.222	84.985	27.283
84.985	27.283	84.782	27.302
84.782	27.302	84.579	27.317
84.579	27.317	84.375	27.305
84.375	27.305	84.174	27.28
84.174	27.28	83.989	27.356
83.989	27.356	83.835	27.472
83.835	27.472	83.702	27.609
83.702	27.609	83.511	27.671
83.511	27.671	83.31	27.703
83.31	27.703	83.111	27.745
83.111	27.745	82.906	27.744
82.906	27.744	82.705	27.714
82.705	27.714	82.51	27.657
82.51	27.657	82.338	27.736
82.338	27.736	82.195	27.866
82.195	27.866	82.004	27.915
82.004	27.915	81.817	27.961
81.817	27.961	81.748	28.129
81.748	28.129	81.669	28.292
81.669	28.292	81.475	28.35
81.475	28.35	81.352	28.485
81.352	28.485	81.253	28.637
81.253	28.637	81.082	28.738
81.082	28.738	80.881	28.774
80.881	28.774	80.684	28.827
80.684	28.827	80.498	28.905
80.498	28.905	80.315	28.989
80.315	28.989	80.133	29.074
80.133	29.074	80	29.1212588832
80	29.1212588832	80	-4.4894469914
80	-4.4894469914	80.374	-4.393
80.374	-4.393	81.072	-4.213
81.072	-4.213	81.701	-4.031
81.701	-4.031	82.33	-3.848
82.33	-3.848	82.796	-3.641
82.796	-3.641	83.263	-3.433
83.263	-3.433	83.729	-3.225
83.729	-3.225	84.195	-3.017
84.195	-3.017	84.987	-3.181
84.987	-3.181	85.779	-3.344
85.779	-3.344	86.501	-3.716
86.501	-3.716	87.225	-4.088
87.225	-4.088	87.923	-3.529
