> Eurasia
-0.975 71.815
-1.743 71.685
-2.399 71.592
-2.937 71.5
-3.692 71.398
-4.072 71.49
-4.36 71.432
-4.741 71.333
-5.157 71.431
-5.699 71.54
-5.917 71.465
-6.333 71.387
-6.9 71.282
-7.375 71.125
-7.941 71.217
-9.393 71.456
-10.356 71.615
-11.37 71.774
-11.714 71.588
-12.106 71.396
-12.359 71.252
-11.865 71.147
-11.356 71.052
-11.669 70.876
-12.009 70.707
-12.255 70.563
-12.905 70.698
-13.396 70.772
-13.892 70.816
-14.036 70.726
-14.237 70.517
-14.448 70.354
-14.734 70.389
-15.024 70.168
-15.425 69.84
-15.716 69.55
-16.034 69.265
-16.263 69.038
-16.487 68.808
-17.154 68.865
-17.392 68.7
-17.829 68.4
-18.22 68.066
-18.49 67.738
-18.756 67.443
-19.098 67.058
-18.705 66.997
-18.52 66.996
-18.099 66.644
-17.307 66.429
-16.577 66.226
-16.726 65.872
-16.914 65.504
-17.025 65.379
-17.141 64.995
-17.107 64.679
-17.55 64.429
-17.951 64.272
-18.369 64.117
-18.717 63.993
-19.595 63.988
-20.066 63.991
-20.718 63.986
-21.391 63.998
-21.936 63.934
-22.491 63.848
-22.872 63.767
-23.059 63.65
-23.33 63.651
-23.487 63.568
-23.741 63.474
-24.009 63.355
-24.255 63.23
-24.519 63.11
-24.721 62.992
-24.888 62.924
-25.035 62.8
-25.156 62.71
-25.311 62.614
-25.449 62.62
-25.643 62.503
-25.875 62.375
-26.107 62.237
-26.309 62.105
-26.526 61.939
-26.768 61.825
-27.032 61.665
-27.226 61.532
-27.389 61.398
-27.582 61.252
-27.855 61.066
-28.024 60.956
-28.192 60.848
-28.408 60.705
-28.642 60.566
-28.829 60.419
-28.927 60.333
-29.029 60.34
-29.118 60.273
-29.224 60.168
-29.372 60.083
-29.508 59.969
-29.636 59.868
-29.849 59.751
-30.043 59.618
-30.163 59.529
-30.305 59.39
-30.453 59.238
-30.647 59.093
-30.791 58.941
-30.977 58.976
-31.039 58.892
-31.178 58.805
-31.303 58.69
-31.427 58.574
-31.556 58.447
-31.745 58.468
-31.8 58.397
-31.872 58.34
-31.983 58.249
-32.123 58.148
-32.281 57.998
-32.472 58.006
-32.492 57.957
-32.619 57.88
-32.708 57.773
-32.806 57.642
-32.918 57.667
-32.964 57.608
-33.01 57.548
-33.07 57.451
-33.203 57.285
-33.377 57.265
-33.497 57.264
-33.509 57.163
-33.535 57.088
-33.566 57.001
-33.587 56.874
-33.682 56.871
-33.796 56.883
-33.978 56.902
-34.004 56.827
-34.043 56.78
-34.072 56.739
-34.218 56.746
-34.247 56.659
-34.321 56.577
-34.346 56.502
-34.44 56.498
-34.46 56.436
-34.493 56.337
-34.51 56.21
-34.558 56.061
-34.62 55.939
-34.638 55.812
-34.877 55.849
-34.901 55.774
-34.972 55.691
-35.08 55.483
-35.173 55.326
-35.251 55.141
-35.339 54.996
-35.212 54.971
-35.274 54.913
-35.289 54.786
-35.365 54.678
-35.412 54.516
-35.488 54.331
-35.313 54.327
-35.121 54.308
-35.147 54.22
-35.201 54.111
-35.27 53.951
-35.327 53.828
-35.395 53.668
-35.452 53.546
-35.246 53.512
-35.257 53.475
-35.282 53.388
-35.325 53.238
-35.183 53.211
-35.184 53.134
-35.161 52.99
-35.156 52.861
-35.138 52.705
-34.925 52.708
-34.572 52.682
-34.175 52.663
-33.712 52.648
-33.335 52.628
-33.02 52.615
-32.857 52.595
-32.649 52.581
-32.359 52.556
-32.053 52.516
-31.866 52.504
-31.582 52.465
-31.257 52.42
-31.265 52.343
-31.253 52.263
-31.268 52.109
-31.058 52.105
-30.807 52.094
-30.376 52.057
-30.026 52.03
-30.036 51.953
-30.011 51.858
-30.006 51.765
-30.021 51.626
-30.001 51.254
-29.977 51.107
-29.982 50.99
-29.942 50.931
-29.909 50.861
-29.875 50.79
-29.831 50.743
-29.768 50.694
-29.662 50.598
-29.537 50.499
-29.508 50.469
-29.427 50.416
-29.322 50.32
-29.198 50.221
-29.127 50.195
-29.022 50.151
-28.995 50.068
-28.987 49.988
-28.96 49.905
-28.895 49.815
-28.869 49.731
-28.818 49.657
-28.718 49.653
-28.562 49.639
-28.545 49.583
-28.486 49.481
-28.452 49.369
-28.426 49.286
-28.353 49.22
-28.317 49.161
-28.263 49.099
-28.206 48.996
-28.162 48.909
-28.087 48.803
-28.035 48.688
-28.011 48.605
-27.89 48.609
-27.76 48.585
-27.749 48.517
-27.731 48.421
-27.712 48.325
-27.704 48.205
-27.654 48.09
-27.635 47.994
-27.622 47.886
-27.59 47.775
-27.564 47.651
-27.463 47.658
-27.448 47.602
-27.443 47.522
-27.464 47.473
-27.459 47.393
-27.461 47.341
-27.474 47.264
-27.441 47.205
-27.382 47.114
-27.334 46.999
-27.347 46.922
-27.377 46.849
-27.378 46.757
-27.436 46.755
-27.444 46.691
-27.446 46.638
-27.472 46.485
-27.487 46.356
-27.489 46.304
-27.512 46.203
-27.565 46.213
-27.572 46.149
-27.585 46.072
-27.602 45.983
-27.677 45.985
-27.697 45.936
-27.699 45.883
-27.739 45.878
-27.759 45.829
-27.773 45.7
-27.795 45.599
-27.825 45.526
-27.877 45.536
-27.864 45.521
-27.862 45.48
-27.871 45.456
-27.924 45.466
-27.938 45.43
-27.935 45.39
-27.937 45.337
-27.972 45.344
-27.979 45.28
-27.986 45.215
-27.988 45.163
-27.994 45.098
-28.076 45.127
-28.1 45.066
-28.115 45.03
-28.139 44.968
-28.157 44.92
-28.106 44.909
-28.142 44.864
-28.144 44.812
-28.168 44.751
-28.215 44.628
-28.257 44.518
-28.282 44.405
-28.32 44.307
-28.367 44.184
-28.435 44.198
-28.436 44.145
-28.455 44.096
-28.483 44.023
-28.481 43.931
-28.513 43.845
-28.59 43.823
-28.796 43.768
-28.84 43.698
-28.884 43.628
-28.934 43.493
-29.008 43.389
-29.091 43.208
-29.174 43.08
-29.311 43.077
-29.317 43.028
-29.327 42.952
-29.349 42.838
-29.372 42.724
-29.321 42.715
-29.318 42.674
-29.339 42.613
-29.37 42.527
-29.392 42.413
-29.435 42.291
-29.217 42.288
-29.223 42.237
-29.245 42.175
-29.242 42.083
-29.261 41.929
-29.162 41.91
-29.2 41.8
-29.206 41.683
-29.245 41.52
-29.292 41.385
-29.322 41.247
-29.229 41.215
-29.242 41.126
-29.256 40.985
-29.278 40.871
-29.3 40.705
-29.346 40.57
-29.561 40.599
-29.577 40.55
-29.57 40.469
-29.598 40.383
-29.631 40.285
-29.64 40.208
-29.657 40.107
-29.588 40.106
-29.58 40.079
-29.613 40.033
-29.609 39.993
-29.77 39.4
-29.335 39.315
-29.297 39.255
-29.26 39.25
-29.188 39.279
-29.147 39.294
-29.09 39.323
-29.049 39.338
-28.982 39.366
-28.951 39.379
-28.895 39.412
-28.853 39.373
-28.781 39.299
-28.745 39.263
-28.686 39.214
-28.666 39.179
-28.619 39.121
-28.567 39.13
-28.484 39.156
-28.452 39.134
-28.42 39.093
-28.395 39.058
-28.365 39.02
-28.342 38.993
-28.292 38.939
-28.215 38.952
-28.12 38.968
-28.059 38.983
-27.955 39.004
-27.793 39
-27.722 38.942
-27.68 38.914
-27.606 38.864
-27.559 38.836
-27.484 38.782
-27.239 38.78
-27.203 38.7
-27.174 38.666
-27.129 38.607
-27.09 38.571
-27.029 38.491
-27.007 38.464
-26.941 38.4
-26.901 38.36
-26.83 38.278
-26.718 38.42
-26.647 38.358
-26.614 38.324
-26.532 38.255
-26.494 38.222
-26.417 38.149
-26.379 38.116
-26.302 38.047
-26.171 38.036
-26.075 37.965
-26.043 37.935
-25.916 37.839
-25.808 37.878
-25.734 37.816
-25.698 37.79
-25.633 37.722
-25.538 37.818
-25.464 37.752
-25.427 37.718
-25.355 37.663
-25.267 37.769
-25.101 37.646
-24.983 37.644
-24.931 37.609
-24.892 37.584
-24.845 37.552
-24.816 37.533
-24.775 37.5
-24.733 37.467
-24.667 37.411
-24.702 37.352
-24.738 37.273
-24.75 37.217
-24.68 37.127
-24.634 37.095
-24.554 37.017
-24.5 36.971
-24.434 36.91
-24.385 36.863
-24.311 36.792
-24.255 36.781
-24.146 36.788
-24.046 36.755
-23.57 36.646
-22.893 36.702
-22.216 36.754
-21.507 36.82
-20.797 36.881
-20.24 36.954
-19.682 37.025
-18.618 37.307
-18.124 37.466
-17.584 37.503
-16.742 37.435
-15.841 37.297
-15.386 37.212
-15.143 37.021
-14.411 37.21
-13.675 37.395
-12.903 36.864
-9.953 36.953
-9.283 36.831
-7.524 36.635
-6.644 36.665
-5.994 36.769
-4.575 37.191
-3.311 37.426
-2.308 37.606
-1.478 37.83
-1.819 37.308
-1.985 36.941
-2.588 36.608
-2.979 36.268
-3.629 35.64
-3.141 35.873
-2.68 36.036
-1.96 35.893
-0.851 35.743
-0.162 35.791
0 35.902
0.003 35.904
0.667 36.072
1.245 36.282
1.97 36.503
2.38 36.594
3.454 36.851
4.297 36.969
5.142 37.082
5.974 37.154
6.784 37.322
7.215 37.32
